Cancer	Gene	cnv	N.cells.with.cnv
BRCA	ZRANB1	Loss	1995
BRCA	CTBP2	Gain	3945
BRCA	CTBP2	Loss	1995
BRCA	EDRF1	Gain	3945
BRCA	EDRF1	Loss	1995
BRCA	BCCIP	Gain	3945
BRCA	BCCIP	Loss	1995
BRCA	DHX32	Gain	3945
BRCA	DHX32	Loss	1995
BRCA	FANK1	Gain	2086
BRCA	FANK1	Loss	1995
BRCA	DOCK1	Gain	3945
BRCA	DOCK1	Loss	1995
BRCA	MGMT	Gain	2086
BRCA	MGMT	Loss	1995
BRCA	GLRX3	Gain	3945
BRCA	GLRX3	Loss	1995
BRCA	PPP2R2D	Gain	3945
BRCA	PPP2R2D	Loss	1995
BRCA	INPP5A	Gain	3945
BRCA	INPP5A	Loss	1995
BRCA	TUBGCP2	Gain	2086
BRCA	TUBGCP2	Loss	1995
BRCA	MTG1	Gain	3945
BRCA	MTG1	Loss	1995
BRCA	KDM5A	Gain	15657
BRCA	KDM5A	Loss	5755
BRCA	WNK1	Gain	15657
BRCA	WNK1	Loss	5755
BRCA	RAD52	Gain	15657
BRCA	RAD52	Loss	3192
BRCA	ERC1	Gain	15657
BRCA	ERC1	Loss	5755
BRCA	ADIPOR2	Gain	15657
BRCA	ADIPOR2	Loss	5755
BRCA	DCP1B	Gain	15657
BRCA	DCP1B	Loss	3192
BRCA	CACNA1C	Gain	15657
BRCA	CACNA1C	Loss	5755
BRCA	ITFG2	Gain	15657
BRCA	ITFG2	Loss	5755
BRCA	TULP3	Gain	15657
BRCA	TULP3	Loss	5755
BRCA	TSPAN9	Gain	15657
BRCA	TSPAN9	Loss	3192
BRCA	PRMT8	Gain	4835
BRCA	CRACR2A	Gain	7121
BRCA	CRACR2A	Loss	3192
BRCA	PARP11	Gain	7121
BRCA	PARP11	Loss	2602
BRCA	C12orf4	Gain	15657
BRCA	C12orf4	Loss	5755
BRCA	NDUFA9	Gain	15657
BRCA	NDUFA9	Loss	2602
BRCA	AC006206.2	Gain	8536
BRCA	AC006206.2	Loss	3153
BRCA	CD9	Gain	15657
BRCA	CD9	Loss	5755
BRCA	LTBR	Gain	15019
BRCA	LTBR	Loss	3153
BRCA	GAPDH	Gain	15019
BRCA	GAPDH	Loss	5716
BRCA	CHD4	Gain	14454
BRCA	CHD4	Loss	5755
BRCA	PTMS	Gain	14394
BRCA	PTMS	Loss	2563
BRCA	ATN1	Gain	9619
BRCA	ATN1	Loss	607
BRCA	C12orf57	Gain	8536
BRCA	C12orf57	Loss	3153
BRCA	LPCAT3	Gain	14685
BRCA	LPCAT3	Loss	6362
BRCA	C1RL	Gain	5918
BRCA	C1RL	Loss	646
BRCA	RIMKLB	Gain	15323
